,experiment,target,lang,translator,model,tw,type,f1,support,soubor,tweet,red
11,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,hu,helsinki,gpt,,all,68.2,106,hu_ua_helsinki_tweet_reduced_gpt-4_9.csv,tweet,red
12,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,hu,helsinki,gpt,,all,60.5,139,hu_ru_helsinki_tweet_gpt-4_9.csv,tweet,no
13,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,cs,helsinki,gpt,,all,46.1,410,cs_ua_helsinki_tweet_gpt-4_4.csv,tweet,no
28,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,cs,deepl,gpt,,all,49.8,431,cs_ru_deepl_tweet_gpt-4_2.csv,tweet,no
15,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,hu,origin,gpt,,all,75.5,103,hu_ru_origin_tweet_reduced_gpt-4_9.csv,tweet,red
16,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,pl,helsinki,gpt,,all,56.9,102,pl_ru_helsinki_tweet_reduced_gpt-4_7.csv,tweet,red
17,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,pl,helsinki,gpt,,all,44.5,160,pl_ua_helsinki_tweet_gpt-4_8.csv,tweet,no
18,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,pl,origin,gpt,,all,48.2,94,pl_ua_origin_tweet_reduced_gpt-4_8.csv,tweet,red
19,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,hu,deepl,gpt,,all,71.9,106,hu_ua_deepl_tweet_reduced_gpt-4_9.csv,tweet,red
14,"{'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,hu,deepl,gpt,,all,55.9,157,hu_ua_deepl_tweet_gpt-4_9.csv,tweet,no
21,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,pl,helsinki,gpt,,all,43.9,143,pl_ru_helsinki_tweet_gpt-4_6.csv,tweet,no
22,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,pl,origin,gpt,,all,40.6,143,pl_ru_origin_tweet_gpt-4_5.csv,tweet,no
23,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,hu,deepl,gpt,,all,79.8,103,hu_ru_deepl_tweet_reduced_gpt-4_9.csv,tweet,red
24,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,pl,origin,gpt,,all,42.8,160,pl_ua_origin_tweet_gpt-4_7.csv,tweet,no
25,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,pl,deepl,gpt,,all,57.2,102,pl_ru_deepl_tweet_reduced_gpt-4_7.csv,tweet,red
26,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,cs,helsinki,gpt,,all,46.8,431,cs_ru_helsinki_tweet_gpt-4_2.csv,tweet,no
27,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,cs,origin,gpt,,all,50,298,cs_ua_origin_tweet_reduced_gpt-4_4.csv,tweet,red
34,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,hu,deepl,gpt,,all,60.5,139,hu_ru_deepl_tweet_gpt-4_9.csv,tweet,no
29,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,pl,origin,gpt,,all,49,102,pl_ru_origin_tweet_reduced_gpt-4_6.csv,tweet,red
30,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,pl,helsinki,gpt,,all,53.1,94,pl_ua_helsinki_tweet_reduced_gpt-4_9.csv,tweet,red
31,"{'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ua,cs,deepl,gpt,,all,58.2,298,cs_ua_deepl_tweet_reduced_gpt-4_5.csv,tweet,red
32,"{'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ua,pl,deepl,gpt,,all,39.8,160,pl_ua_deepl_tweet_gpt-4_8.csv,tweet,no
33,"{'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,hu,helsinki,gpt,,all,75.6,103,hu_ru_helsinki_tweet_reduced_gpt-4_9.csv,tweet,red
20,"{'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'gpt', 'tweet': 'tweet', 'red': 'no'}",ru,pl,deepl,gpt,,all,46.1,143,pl_ru_deepl_tweet_gpt-4_6.csv,tweet,no
35,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,cs,origin,gpt,,all,53.7,362,cs_ru_origin_tweet_reduced_gpt-4_2.csv,tweet,red
36,"{'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'gpt', 'red': 'red', 'tweet': 'tweet'}",ru,cs,helsinki,gpt,,all,56.6,362,cs_ru_helsinki_tweet_reduced_gpt-4_3.csv,tweet,red
