,experiment,target,lang,translator,model,tw,type,f1,support,soubor,tweet,red
56,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'no', 'tweet': 'no'}",ru,cs,origin,llama2,,all,74,431,r_ru_cs_origin_llama2_epoch_3.csv,no,no
344,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,hu,helsinki,llama2,,all,83.1,107,r_ua_hu_helsinki_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
184,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,pl,helsinki,mistral,,all,82.9,95,r_ua_pl_helsinki_mistral_epoch_reduced_5.csv,no,red
69,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,hu,origin,llama2,,all,82.7,103,r_ru_hu_origin_llama2_epoch_reduced_3.csv,no,red
307,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,pl,deepl,llama2,,all,82.7,95,r_ua_pl_deepl_llama2_epoch_reduced_5.csv,no,red
9,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,cs,origin,mistral,,all,82.5,362,r_ru_cs_origin_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
107,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,cs,origin,llama2,,all,82.5,298,r_ua_cs_origin_llama2_epoch_reduced_3.csv,no,red
111,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,cs,helsinki,mistral,,all,82.5,362,r_ru_cs_helsinki_mistral_epoch_reduced_3.csv,no,red
278,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,cs,origin,mistral,,all,82.4,298,r_ua_cs_origin_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
28,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,hu,helsinki,mistral,,all,82.2,107,r_ua_hu_helsinki_mistral_epoch_reduced_3.csv,no,red
140,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,hu,deepl,llama2,,all,82.2,107,r_ua_hu_deepl_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
246,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,pl,origin,llama2,,all,82.1,95,r_ua_pl_origin_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
261,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ru,cs,origin,llama3,,all,82.1,362,r_ru_cs_origin_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
87,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ru,hu,deepl,llama3,,all,81.9,103,r_ru_hu_deepl_llama3_epoch_reduced_5.csv,no,red
220,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ua,pl,helsinki,mistral,,all,81.9,95,r_ua_pl_helsinki_mistral_epoch_ref_tweet_reduced_5.csv,tweet,red
294,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,cs,origin,llama2,,all,81.9,362,r_ru_cs_origin_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
237,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ua,cs,origin,mistral,,all,81.8,298,r_ua_cs_origin_mistral_epoch_reduced_3.csv,no,red
23,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ua,cs,deepl,llama3,,all,81.4,298,r_ua_cs_deepl_llama3_epoch_reduced_5.csv,no,red
123,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ua,cs,deepl,llama3,,all,81.2,298,r_ua_cs_deepl_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
168,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ua,cs,origin,llama3,,all,81,298,r_ua_cs_origin_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
275,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ua,hu,origin,llama2,,all,81,107,r_ua_hu_origin_llama2_epoch_ref_tweet_reduced_1.csv,tweet,red
53,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,cs,helsinki,llama2,,all,#REF!,362,r_ru_cs_helsinki_llama2_epoch_reduced_3.csv,no,red
134,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ua,cs,helsinki,llama3,,all,80.8,298,r_ua_cs_helsinki_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
11,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ru,hu,origin,llama3,,all,80.3,103,r_ru_hu_origin_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
94,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ua,cs,origin,llama3,,all,80,298,r_ua_cs_origin_llama3_epoch_reduced_5.csv,no,red
351,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ru,cs,deepl,llama2,,all,84.6,362,r_ru_cs_deepl_llama2_epoch_reduced_3.csv,no,red
19,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,cs,helsinki,llama2,,all,79.8,362,r_ru_cs_helsinki_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
171,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'deepl', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ua,pl,deepl,llama3,,all,79.6,95,r_ua_pl_deepl_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
186,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,pl,helsinki,mistral,,all,79.4,102,r_ru_pl_helsinki_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
342,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'tweet': 'tweet', 'red': 'red'}",ru,cs,helsinki,mistral,,all,79.3,362,r_ru_cs_helsinki_mistral_epoch_ref_tweet_reduced_3.csv,tweet,red
98,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ua,hu,helsinki,llama3,,all,78.3,107,r_ua_hu_helsinki_llama3_epoch_reduced_5.csv,no,red
305,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'llama2', 'red': 'red', 'tweet': 'no'}",ua,hu,helsinki,llama2,,all,77.5,107,r_ua_hu_helsinki_llama2_epoch_reduced_3.csv,no,red
102,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ru,hu,helsinki,llama3,,all,77.4,103,r_ru_hu_helsinki_llama3_epoch_reduced_5.csv,no,red
202,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ua,hu,origin,llama3,,all,77.4,107,r_ua_hu_origin_llama3_epoch_reduced_5.csv,no,red
352,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'red': 'red', 'tweet': 'no'}",ru,hu,origin,llama3,,all,77.4,103,r_ru_hu_origin_llama3_epoch_reduced_5.csv,no,red
360,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'pl', 'prekladac_do_aj': 'helsinki', 'model': 'mistral', 'red': 'red', 'tweet': 'no'}",ru,pl,helsinki,mistral,,all,77.4,102,r_ru_pl_helsinki_mistral_epoch_reduced_3.csv,no,red
227,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'llama2', 'tweet': 'tweet', 'red': 'red'}",ru,hu,origin,llama2,,all,77.1,103,r_ru_hu_origin_llama2_epoch_ref_tweet_reduced_3.csv,tweet,red
3,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'pl', 'prekladac_do_aj': 'origin', 'model': 'llama3', 'tweet': 'tweet', 'red': 'red'}",ua,pl,origin,llama3,,all,76.9,95,r_ua_pl_origin_llama3_epoch_ref_tweet_reduced_5.csv,tweet,red
221,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'llama2', 'red': 'no', 'tweet': 'no'}",ua,cs,deepl,llama2,,all,76.9,410,r_ua_cs_deepl_llama2_epoch_3.csv,no,no
115,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'deepl', 'model': 'bert', 'red': 'red', 'tweet': 'no'}",ru,hu,deepl,bert,,all,71.7,103,r_ru_hu_deepl_bert_epoch_reduced_4.csv,no,red
263,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'hu', 'prekladac_do_aj': 'helsinki', 'model': 'bert', 'red': 'red', 'tweet': 'no'}",ua,hu,helsinki,bert,,all,76.6,107,r_ua_hu_helsinki_bert_epoch_reduced_4.csv,no,red
54,"{'typ': 'r', 'dataset': 'ua', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'no', 'tweet': 'no'}",ua,cs,deepl,mistral,,all,72.3,410,r_ua_cs_deepl_mistral_epoch_3.csv,no,no
297,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'hu', 'prekladac_do_aj': 'origin', 'model': 'bert', 'red': 'red', 'tweet': 'no'}",ru,hu,origin,bert,,all,76,103,r_ru_hu_origin_bert_epoch_reduced_4.csv,no,red
320,"{'typ': 'r', 'dataset': 'ru', 'jazyk': 'cs', 'prekladac_do_aj': 'deepl', 'model': 'mistral', 'red': 'no', 'tweet': 'no'}",ru,cs,deepl,mistral,,all,79.4,431,r_ru_cs_deepl_mistral_epoch_3.csv,no,no
